Family (as listed by USDA),Family as per Robinson et al. 2002,Genus,common name,herbaceous or woody,origin (for analysis),origin,species counts (Mid-Atlantic numbers unless otherwise indicated),total Lep spp,exotic Lep spp,Native Lep spp
Fabaceae,Leguminosae(P),Glycyrrhiza,licorice,h,native,both,"1 native, perhaps 1 alien if cultivated",3,0,3
Asteraceae,Compositae ,Gnaphalium,cudweed,h,alien,alien,1 alien,5,0,5
Amaranthaceae ,Amaranthaceae ,Gomphrena,globe amaranth,h,alien,alien,2 aliens,1,0,1
Orchidaceae,,Goodyera,rattlesnake,h,native,native,1 native,0,0,0
Malvaceae ,Malvaceae ,Gossypium,cotton,h,native,native unless cultivated,"1 native, 2 aliens if cultivated",59,4,55
Scrophulariaceae,,Gratiola,hedgehyssop,h,native,native,5 natives,0,0,0
Tiliaceae ,,Grewia,grewia,w,alien,alien,1 alien,0,0,0
Asteraceae,Compositae ,Grindelia,gumweed,h,native,native,3 natives,2,0,2
Amaranthaceae,,Guilleminea,matweed,h,native,native,1 native,0,0,0
Asteraceae,,Guizotia,guizotia,h,alien,alien,1 alien,0,0,0
Asteraceae,Compositae ,Gutierrezia,snakeweed,h,native,native,1 native,5,0,5
Orichidaceae,,Gymnadenia,gymnadenia,h,alien,alien,1 alien,0,0,0
Dryopteridaceae,,Gymnocarpium,oakfern,h,native,native,4 natives,0,0,0
Fabaceae,Leguminosae(C),Gymnocladus,Kentucy coffee tree,w,native,native,1 native,5,1,4
Poaceae,Gramineae,Gymnopogon,bearded skeletongrass,h,native,native,2 natives,0,0,0
Caryophyllaceae,,Gypsophila,baby's-breath,h,alien,alien,5 aliens,0,0,0
Boraginaceae,,Hackelia,stickseed,h,native,native,3 natives,0,0,0
Poaceae,,Hackelochloa,pitscale grass,h,alien,alien,1 alien,0,0,0
Gentianaceae,,Halenia,spurred gentian,h,native,native,1 native,0,0,0
Styracaceae,Styracaceae,Halesia,silverbell,w,native,native,2 natives,7,0,7
Hamamelidaceae,Hamamelidaceae,Hamamelis,witchhazel,w,native,native,1 native,63,1,62
Ericaceae ,,Harrimanella,harrimanella,h,native,native,1 native,0,0,0
Asteraceae,,Hasteola,false Indian plaintain,h,native,native,1 native,0,0,0
Lamiaceae,Labiatae,Hedeoma,false pennyroyal,h,native,native,2 natives,2,0,2
Araliaceae,Araliaceae,Hedera,english ivy,w,alien,alien,1 alien perhaps others if cultivated,3,0,3
Fabaceae,Leguminosae(P),Hedysarum,sweetvetch,h,alien,alien,some will grow here if cultivated,4,0,4
Asteraceae,Compositae ,Helenium,sneezeweed,h,native,native unless cultivated,"6 natives, perhaps 2 aliens if cultivated",5,0,5
Cistaceae,Cistaceae,Helianthemum,frostweed,h,native,native unless cultivated,"4 natives, perhaps 1 alien if cultivated",2,0,2
Asteraceae,Compositae ,Helianthus,sunflower,h,native,native,25 natives,75,2,73
Asteraceae,,Heliomeris,false goldeneye,h,native,native,1 native,0,0,0
Asteraceae,Compositae ,Heliopsis,smooth oxeye,h,native,native,1 native,2,0,2
Boraginaceae,,Heliotropium,heliotrope,h,native,native,1 native,0,0,0
Ranunculaceae,,Helleborus,hellebore,h,alien,alien,2 aliens,0,0,0
Liliaceae,,Helonias,helonias,h,native,native,1 native,0,0,0
Poaceae,,Hemarthria,jointgrass,h,alien,alien,1 alien,0,0,0
Liliaceae,,Hemerocallis,daylily,h,alien,alien,2 aliens,0,0,0
Ranunculaceae,,Hepatica,hepatica,h,native,native,1 native,0,0,0
Apiaceae,Umbelliferae ,Heracleum,"cow parsnip, giant hogweed, eltrot",h,native,both,"1 native, 2 alien",8,1,7
Amaranthaceae,,Hermbstaedtia,hermbstaedtia,h,alien,alien,1 alien,0,0,0
Caryophyllaceae,,Herniaria,rupturewort,h,alien,alien,2 aliens,0,0,0
Brassicaceae,Cruciferae ,Hesperis,dame's rocket,h,alien,alien,1 alien,2,1,1
Poaceae,Gramineae,Hesperostipa,"needle and thread, porcupinegrass",h,native,native,2 natives,1,0,1
Pontederiaceae,,Heteranthera,mudplantain,h,native,native,3 natives,0,0,0
Asteraceae,,Heterosperma,heterosperma,h,native,native,1 native,0,0,0
Asteraceae,Compositae ,Heterotheca,goldenaster,h,native,native,2 natives,7,0,7
Saxifragaceaea,Saxifragaceaea,Heuchera,alumroot,h,native,native,6 natives,1,0,1
Orchidacea,,Hexalectris,crested coralroot,h,native,native,1 native,0,0,0
Aristolochiaceae,,Hexastylis,heartleaf,h,native,native,6 natives,0,0,0
Malvaceae ,Malvaceae ,Hibiscus,"hibiscus, rosemallow",h,native,both,"2 natives, 2 aliens perhaps others if cultivated",20,2,18
Asteraceae,Compositae ,Hieracium,hawkweed,h,native,both,"12 natives, 12 aliens perhaps another if cultivated",4,0,4
Poaceae,,Hierochloe,sweetgrass,h,native,native,3 natives,0,0,0
Fabaceae,,Hippocrepis,hippocrepis,h,alien,alien,1 alien,0,0,0
Hippuridaceae,,Hippuris,mare's-tail,h,native,native,1 native,0,0,0
Poaceae,Gramineae,Holcus,velvet grass,h,alien,alien,2 aliens,1,0,1
Caryophyllaceae,,Holosteum,holosteum,h,alien,alien,1 alien,0,0,0
Caryophyllaceae,,Honckenya,honckenya,h,native,native,1 native,0,0,0
Poaceae,Gramineae,Hordeum,barley,h,native,both,"3 natives, 3 aliens perhaps others if cultivated",18,1,17
Liliaceae,,Hosta,plantain lily,h,alien,alien,3 aliens,0,0,0
Primulaceae,,Hottonia,hottonia,h,native,native,1 native,0,0,0
Rubiaceae,,Houstonia,bluet,h,native,native,6 natives,0,0,0
Cistaceae,,Hudsonia,goldenheather,h,native,native,2 natives,0,0,0
Cannabaceae,Cannabaceae,Humulus,hops,h,native,both,"1 native, 1 alien",27,3,24
Lycopodiaceae,,Huperzia,clubmoss,h,native,native,5 natives,0,0,0
Liliaceae,,Hyacinthoides,hyacinthoides,h,alien,alien,2 aliens,0,0,0
Liliaceae,Hyacinthacaea,Hyacinthus,garden hyacinth,h,alien,alien,1 alien,1,0,1
Violaceae,,Hybanthus,greenviolet,h,native,native,1 native,0,0,0
Hydrangaeceae,Hydrangaeceae,Hydrangea,hydrangea,w,native,both,"2 natives, 1 alien perhaps another if cultivated",5,0,5
Ranunculaceae,,Hydrastis,hydrastis,h,native,native,1 native,0,0,0
Hydrocharitaceae,,Hydrilla,hydrilla,h,alien,alien,1 alien aquatic,0,0,0
Hydrocharitaceae,,Hydrocharis,hydrocharis,h,alien,alien,1 alien aquatic,0,0,0
Apiaceae,Umbelliferae ,Hydrocotyle,marshpennywort,h,native,both,"5 natives, 1 alien",2,0,2
Hydrophyllaceae ,,Hydrolea,false fiddleleaf,h,native,native,1 native aquatic,0,0,0
Hydrophyllaceae ,,Hydrophyllum,waterleaf,h,native,native,4 natives aquatic,0,0,0
Acanthaceae,,Hygrophila,swampweed,h,alien,alien,1 alien aquatic,0,0,0
Crassulaceae ,,Hylotelephium,stonecrop,h,native,native,1 native,0,0,0
Solanaceae ,Solanaceae ,Hyoscyamus,henbane,h,alien,alien,2 aliens,3,0,3
Fumariaceae,,Hypecoum,hypecoum,h,alien,alien,1 alien,0,0,0
Clusiaceae,Guttiferae,Hypericum,St.Johns wort,h,native,both,"24 natives, 1 alien perhaps more if cultivated",20,0,20
Asteraceae,Compositae ,Hypochaeris,catsear,h,alien,alien,2 aliens perhaps another if culivated,1,0,1
Liliaceae,,Hypoxis,star-grass,h,native,native,2 natives,0,0,0
Lamiaceae,Labiatae,Hyptis,bushmint,h,alien,alien,"1 alien(VA&south), natives further south & west",2,0,2
Lamiaceae,,Hyssopus,hyssopus,h,alien,alien,1 alien,0,0,0
Brassicaceae,Cruciferae ,Iberis,candytuft,h,alien,alien,4 aliens,1,1,0
Aquifoliaceae,Aquifoliaceae,Ilex,"holly, inkberry, winterberry",w,native,both,"12 natives, 1 aliens perhaps more if cultivated",39,5,34
Malvaceae,Malvaceae,Iliamna,wild hollyhock,h,native,native,1 native (VA),0,0,0
Balsaminaceae,Balsaminaceae,Impatiens,"touch-me-not, impatiens",h,native,both,"2 natives, 2 aliens",12,0,12
Poaceae,Gramineae,Imperata,cogongrass,h,alien,alien,1 alien perhaps others if cultivated,4,0,4
Fabaceae,Leguminosae(P),Indigofera,"indigo, hairy indigo",h,alien,alien,"1 alien, perhaps others if cultivated",4,0,4
Asteraceae,Compositae ,Inula,yellowhead,h,alien,alien,"3 allliens, perhaps another if cultivated",2,0,2
Brassicaceae,,Iodanthus,iodanthus,h,native,native,1 native,0,0,0
Asteraceae,,Ionactis,aster,h,native,native,1 native,0,0,0
Convolvulaceae ,Convolvulaceae ,Ipomoea,"morning glory, redstar, sweet potato",h,native,both,"6 natives, 7 aliens, perhaps more if cultivated",39,1,38
Polemoniaceae,Polemoniaceae,Ipomopsis,standing-cypress,h,native,native,1 native,1,0,1
Amaranthaceae ,Amaranthaceae ,Iresine,"juba's bush, bloodleaf",h,native,native,1 native,2,0,2
Iridaceae ,Iridaceae ,Iris,iris,h,native,both,"5 natives, 6 aliens perhaps others if cultivated",16,4,12
Brassicaceae,,Isatis,woad,h,alien,alien,1 alien,0,0,0
Isoetaceae,Isoetaceae,Isoetes,quillwort,h,native,native,21 natives (some VA only),1,0,1
Cyperaceae,Cyperaceae,Isolepis,bulrush,h,alien,alien,2 aliens perhaps another if cultivated (natives further south),0,0,0
Orchidaceae,,Isotria,fiveleaf orchid,h,native,native,2 natives,0,0,0
Grossulariaceae,Grossulariaceae,Itea,Virginia sweetspire,h,native,native,1 native,0,0,0
Grossulariaceae ,,Itea,sweetspire,w,native,native,1 native,0,0,0
Asteraceae,Compositae ,Iva,marshelder,h,native,native,3 natives,4,0,4
Asteraceae,,Ixeris,ixeris,h,alien,alien,1 alien,0,0,0
Convolvulaceae ,,Jacquemontia,clustervine,h,native,native,1 native,0,0,0
Campanulaceae,,Jasione,jasione,h,alien,alien,1 alien,0,0,0
Oleaceae,Oleaceae,Jasminum,jasmine,h,alien,alien,1 alien perhaps others if cultivated,5,0,5
Berberidaceae,,Jeffersonia,jeffersonia,h,native,native,1 native,0,0,0
Juglandaceae,Juglandaceae,Juglans,"butternut, walnut",w,native,both,"2 natives, 2 aliens, perhaps others if cultivated",129,6,123
Juncaceae,Juncaceae,Juncus,rush,h,native,both,"40 natives, 2 aliens perhaps another if cultivated",6,0,6
Cupressaceae,Cupressaceae,Juniperus,"juniper, red cedar",w,native,native unless cultivated,"3 natives, perhaps aliens if cultivated",42,5,37
Acanthaceae,Acanthaceae,Justicia,looseflower waterwillow,h,native,native unless cultivated,"2 natives, perhaps 1 alien if cultivated",5,0,5
Zygophyllaceae,,Kallstroemia,caltrop,h,native,native,1 native,0,0,0
Ericaceae ,Ericaceae ,Kalmia,"mountainlaurel, sheep laurel, bog laurel, ",w,native,native,4 natives,33,2,31
Araliaceae,,Kalopanax,castor aralia,w,alien,alien,1 alien,0,0,0
Rosaceae ,,Kerria,kerria,w,alien,alien,1 alien,0,0,0
Scrophulariaceae,Scrophulariaceae,Kickxia,cancerwort,h,alien,alien,2 aliens,1,0,1
Dipsacaceae,,Knautia,scabiosa,h,alien,alien,1 alien,0,0,0
Poaceae,,Koeleria,Junegrass,h,native,native,1 native,0,0,0
Sapindaceae,Sapindaceae,Koelreuteria,"golden raintree, varnish tree",w,alien,alien,1 alien perhaps another if cultivated,1,0,1
Caprifoliaceae,,Kolkwitzia,kolkwitzia,w,alien,alien,1 alien,0,0,0
Malvaceae ,Malvaceae ,Kosteletzkya,Virginia saltmarsh mallow,h,native,native,1 native,1,0,1
Asteraceae,,Krigia,dwarfdandelion,h,native,native,4 natives,0,0,0
Fabaceae,,Kummerowia,kummerowia,h,alien,alien,2 aliens,0,0,0
Cyperaceae,,Kyllinga,spikesedge,h,native,native,3 natives,0,0,0
Fabaceae,Leguminosae(P),Lablab (some now maybe Dolichos),hyacinthbean,h,alien,alien,1 alien,2,1,1
Fabaceae,Leguminosae(P),Laburnum,"golden chain tree, waterer laburnum, scotch laburnum",w,alien,alien,2 aliens,1,1,0
Haemodoraceae,Haemodoraceae,Lachnanthes,Carolina redroot,h,native,native,1 native,0,0,0
Eriocaulaceae,,Lachnocaulon,bogbutton,h,native,native,1 native,0,0,0
Asteraceae,Compositae ,Lactuca,lettuce,h,native,both,"6 natives, 3 aliens, others in cultivated",51,2,49
Cucurbitaceae ,,Lagenaria,lagenaria,h,alien,alien,1 alien,0,0,0
Lythraceae ,Lythraceae ,Lagerstroemia,crapemyrtle,w,alien,alien,1 alien,3,0,3
Poaceae,,Lagurus,harestail,h,alien,alien,1 alien,0,0,0
Lamiaceae,,Lamiastrum,lamiastrum,h,alien,alien,1 alien,0,0,0
Lamiaceae,Labiatae,Lamium,deadnettle,h,alien,alien,4 aliens,2,1,1
Fumariaceae,,Lamprocapnos,bleeding,h,alien,alien,1 alien,0,0,0
Lemnaceae ,,Landoltia,,h,native,native,1 native,0,0,0
Verbenaceae,,Lantana,lantana,w,alien,alien,"Cultivated (when grown as an annual).  natives are southern, only 1 alien on list",2,0,2
Urticaceae,Urticaceae,Laportea,woodnettle,h,native,native unless cultivated,"1 native, perhaps 2 aliens if cultivated",6,0,6
Boraginaceae,,Lappula,stickseed,h,native,native,1 native,0,0,0
Asteraceae,,Lapsana,nipplewort,h,alien,alien,1 alien,0,0,0
Pinaceae,Pinaceae,Larix,"larch, tamarack",w,native,both,"1 native, 2 aliens, perhaps others if cultivated",121,6,115
Fabaceae,Leguminosae(P),Lathyrus,pea,h,native,both,"5 natives, 7 aliens perhaps more if cultivated",21,5,16
Lamiaceae,Labiatae,Lavandula,lavender,w,alien,alien,1 alien perhaps others if cultivated,2,0,2
Malvaceae ,Malvaceae ,Lavatera,tree lavatera,h,alien,alien,1 alien,1,0,1
Cistaceae,,Lechea,pinweed,h,native,native,7 natives,0,0,0
Ericaceae ,Ericaceae ,Ledum,labrador tea,w,native,native,1 native,7,0,7
Poaceae,Gramineae,Leersia,"southern cutgrass, cutgrass",h,native,native,4 natives,5,0,5
Campanulaceae,,Legousia,legousia,h,alien,alien,1 alien,0,0,0
Ericaceae ,Ericaceae ,Leiophyllum,sandmyrtle,w,native,native,1 native,1,0,1
Lemnaceae ,Lemnaceae ,Lemna,duckweed,h,native,native,6 natives,2,0,2
Fabaceae,,Lens,lentil,h,alien,alien,1 alien,0,0,0
Asteraceae,,Leontodon,hawkbit,h,alien,alien,3 aliens,0,0,0
Lamiaceae,,Leonurus,motherwort,h,alien,alien,2 aliens,0,0,0
Brassicaceae,Cruciferae ,Lepidium,"peppergrass, pepperweed",h,native,both,"5 natives, 7 aliens perhaps more if cultivated",8,1,7
Poaceae,Gramineae,Leptochloa,sprangletop,h,native,native unless cultivated,"3 natives, perhaps aliens if cultivated",2,0,2
Polemoniaceae,,Leptosiphon,,h,native,native,1 native,0,0,0
Fabaceae,Leguminosae(P),Lespedeza,bush clover,h,native,both,"16 natives, 4 aliens, others if cultivated",23,1,22
Brassicaceae,,Lesquerella,bladderpod,h,native,native,1 native,0,0,0
Asteraceae,,Leucanthemella,leucanthemella,h,alien,alien,1 alien,0,0,0
Asteraceae,Compositae ,Leucanthemum,daisy,h,alien,alien,"3 aliens, no natives",4,1,3
Liliaceae,,Leucojum,snowflake,h,alien,alien,1 alien,0,0,0
Solanaceae ,,Leucophysalis,leucophysalis,h,native,native,1 native,0,0,0
Scrophulariaceae,,Leucospora,leucospora,h,native,native,1 native,0,0,0
Ericaceae ,Ericaceae ,Leucothoe,doghobble,w,native,native,2 natives,4,1,3
Apiaceae,Umbelliferae ,Levisticum,garden lovage,h,alien,alien,1 alien,1,0,1
Poaceae,Gramineae,Leymus,wildrye,h,native,both,"1 native, 1 alien perhaps others if cultivated",3,0,3
Asteraceae,Compositae ,Liatris,blazing star,h,native,native,9 natives,4,0,4
Asteraceae,,Ligularia,,h,alien,alien,1 alien,0,0,0
Apiaceae,Umbelliferae ,Ligusticum,licorice-root,h,native,native unless cultivated,"2 natives, perhaps aliens if cultivated",3,0,3
Oleaceae,Oleaceae,Ligustrum,privet,w,alien,alien,7 aliens perhaps more if cultivated,24,5,19
Apiaceae,,Lilaeopsis,grasswort,h,native,native,2 natives,0,0,0
Liliaceae,Liliaceae,Lilium,"lily, tiger lily",h,native,both,"9 natives, 2 aliens perhaps others if cultivated",11,0,11
Hydrocharitaceae,,Limnobium,spongeplant,h,native,native,1 native aquatic,0,0,0
Plumbaginaceae,Plumbaginaceae,Limonium,"sealavander, statice",h,native,both,"1 native, 1 alien, 2 more if cultivated",1,1,0
Scrophulariaceae,,Limosella,,h,native,native,1 native aquatic,0,0,0
Scrophulariaceae,Scrophulariaceae,Linaria,"butter and eggs, toadflax",h,alien,alien,6 aliens,5,1,4
Lauraceae,Lauraceae,Lindera,spicebush,w,native,native,2 natives,11,2,9
Scrophulariaceae,,Lindernia,false pimpernel,h,native,native,1 native,0,0,0
Caprifoliaceae ,,Linnaea,twinflower,h,native,native,1 native,0,0,0
Linaceae,Linaceae,Linum,flax,h,native,both,"6 natives, 4 aliens",17,2,15
Orchidaceae,,Liparis,widelip orchid,h,native,native,2 natives,0,0,0
Cyperaceae,,Lipocarpha,halfchaff sedge,h,native,native,2 natives,0,0,0
Hamamelidaceae,Hamamelidaceae,Liquidambar,sweetgum,w,native,native unless cultivated,"1 native, 1 alien when cultivated",35,2,33
Magnoliaceae ,Magnoliaceae ,Liriodendron,tulip poplar,w,native,native unless cultivated,"1 native, 1 alien when cultivated",21,2,19
Liliaceae,,Liriope,lilyturf,h,alien,alien,1 alien,0,0,0
Orchidaceae,,Listera,twayblade,h,native,native,5 natives,0,0,0
Boraginaceae,Boraginaceae,Lithospermum,stoneseed,h,native,both,"5 natives, 1 alien",3,1,2
Lauraceae,Lauraceae,Litsea,pondspice,w,native,both,"1 natives (MD&south), 1 alien likely not in our area",2,0,2
Plantaginaceae ,,Littorella,littorella,h,native,native,1 native aquatic,0,0,0
Campanulaceae,Campanulaceae,Lobelia,"lobelia, cardinalflower",h,native,both,"11 natives, 1 alien perhaps another if cultivated",4,0,4
Brassicaceae,Cruciferae ,Lobularia,sweet alyssum,h,alien,alien,1 alien,2,1,1
Asteraceae,,Logfia,cottonrose,h,alien,alien,2 aliens,0,0,0
Ericaceae,,Loiseleuria,loiseleuria,w,native,native,1 native,0,0,0
Poaceae,Gramineae,Lolium,ryegrass,h,alien,alien,3 aliens perhaps more if cultivated,5,0,5
Caprifoliaceae ,Caprifoliaceae ,Lonicera,honeysuckle,w,native,both,"7 natives, 12 aliens perhaps others if cultivated",37,4,33
Liliaceae,,Lophiola,lophiola,h,native,native,1 native,0,0,0
Fabaceae,Leguminosae(P),Lotus,"deer vetch, trefoil",h,native,both,"1 native, 2 aliens, 28 if cultivated",12,1,11
Onagraceae,Onagraceae,Ludwigia,"false loosestrife, primrose-willow",h,native,both,15 natives. 1 alien perhaps more if cultivated,2,0,2
Cucurbitaceae ,,Luffa,luffa,h,alien,alien,1 alien,0,0,0
Brassicaceae,,Lunaria,lunaria,h,alien,alien,2 aliens,0,0,0
Fabaceae,Leguminosae(P),Lupinus,lupine,h,native,native,"2 natives, perhaps others if cultivated",33,3,30
Juncaceae,,Luzula,woodrush,h,native,both,"7 natives, 1 alien in MA",0,0,0
Caryophyllaceae,,Lychnis,campion,h,alien,alien,5 aliens,0,0,0
Solanaceae ,Solanaceae ,Lycium,"matrimony vine, desert-thorn",w,alien,alien,"2 aliens perhaps more if cultivated, natives elsewhere in USA",2,0,2
Lycopodiaceae,,Lycopodiella,clubmoss,h,native,native,6 natives,0,0,0
Lycopodiaceae,,Lycopodium,clubmoss,h,native,native,13 natives,0,0,0
Lamiaceae,Labiatae,Lycopus,"bugleweed, waterhorehound",h,native,both,"7 natives, 1 alien",1,0,1
Lygodiaceae,,Lygodium,climbing fern,h,native,native,1 native,0,0,0
Ericaceae ,Ericaceae ,Lyonia,"maleberry, staggerbush",w,native,native,3 natives,11,0,11
Primulaceae,Primulaceae,Lysimachia,yellow loosestrife,h,native,both,"11 natives, 4 aliens perhaps another if cultivated",6,0,6
Lythraceae ,Lythraceae ,Lythrum,"lythrum, loosestrife",h,native,both,"2 natives, 2 aliens",12,0,12
Asteraceae,Compositae ,Machaeranthera,tansyaster,h,native,native,3 natives (all NY),6,0,6
Papaveraceae,,Macleaya,macleaya,h,alien,alien,1 alien,0,0,0
Moraceae,Moraceae,Maclura,osage orange,w,native,native,1 native,8,2,6
Asteraceae,Compositae ,Madia,tarweed,h,native,native,1 native,1,0,1
Magnoliaceae ,Magnoliaceae ,Magnolia,"magnolia, sweetbay",w,native,both,"7 natives, 2 aliens perhaps others if cultivated",21,0,21
Berberidaceae,,Mahonia,barberry,h,native,native,2 natives,0,0,0
Liliaceae,Convallariaceae ,Maianthemum,"mayflower, false lily of the valley",h,native,native,4 natives,2,0,2
Asteraceae,,Malacothrix,desertdandelion,h,native,native,1 native,0,0,0
Orchidaceae,,Malaxis,adder's-mouth orchid,h,native,native,4 natives,0,0,0
Rosaceae ,Rosaceae ,Malus,"crabapple, apple",w,native,both,4 natives. 6 aliens perhaps others if cultivated,308,24,284
Malvaceae ,Malvaceae ,Malva,mallow,h,alien,alien,7 aliens perhaps more if cultivated,12,0,12
Malvaceae,,Malvastrum,False mallow,h,native,native,1 native,0,0,0
Solanaceae ,Solanaceae ,Mandragora,"Mandrake, Devil's Apple",h,alien,alien,1 alien,1,0,1
Agavaceae,,Manfreda,tuberose,h,native,native,1 native,0,0,0
Lamiaceae,Lamiaceae,Marrubium,horehound,h,alien,alien,1 alien perhaps another if cultivated,1,1,0
Asteraceae,,Marshallia,Barbara's buttons,h,native,native,2 natives,0,0,0
Marsileaceae,,Marsilea,waterclover,h,alien,alien,1 alien aquatic,0,0,0
Asclepiadaceae,,Matelea,milkvine,h,native,native,4 natives,0,0,0
Asteraceae,,Matricaria,mayweed,h,alien,alien,2 aliens,0,0,0
Dryopteridaceae,Woodsiaceae,Matteuccia,ostrich fern,h,native,native,1 native,2,0,2
Brassicaceae,Cruciferae ,Matthiola,stock,h,alien,alien,"1 alien when cultivated (VA&south), perhaps another",1,1,0
Scrophulariaceae,Scrophulariaceae,Maurandella,roving sailor,h,native,native,1 native (MD),1,0,1
Mayacaceae,,Mayaca,mayaca,h,native,native,1 native aquatic,0,0,0
Scrophulariaceae,,Mazus,mazus,h,alien,alien,2 aliens,0,0,0
Scrophulariaceae,,Mecardonia,mecardonia,h,native,native,1 native,0,0,0
Liliaceae,,Medeola,Indian cucumber,h,native,native,1 native,0,0,0
Fabaceae,Leguminosae(P),Medicago,"alfalfa, lucerne",h,alien,alien,"6 aliens, others cultivated",69,5,64
Lamiaceae,,Meehania,meehania,h,native,native,1 native,0,0,0
Scrophulariaceae,,Melampyrum,cowwheat,h,native,native,1 native,0,0,0
Meliaceae,Meliaceae,Melia,Chinaberrytree,w,alien,alien,1 alien,2,0,2
Poaceae,,Melica,melicgrass,h,native,native,1 native,0,0,0
Fabaceae ,Leguminosae(P),Melilotus,"sweetclover, clover",h,alien,alien,4 aliens perhaps others if cultivated,32,3,29
Poaceae,,Melinis,stinkgrass,h,alien,alien,1 alien,0,0,0
Lamiaceae,,Melissa,balm,h,alien,alien,1 alien,0,0,0
Sterculiaceae,,Melochia,melochia,h,alien,alien,1 alien,0,0,0
Cucurbitaceae ,,Melothria,melothria,h,native,native,1 native,0,0,0
Menispermaceae,Menispermaceae,Menispermum,moonseed,w,native,native,1 native,1,0,1
Lamiaceae,Labiatae,Mentha,mint,h,native,both,"1 native, 9 aliens, perhaps another if cultivated",22,1,21
Menyanthaceae,Menyanthaceae,Menyanthes,buckbean,h,native,native,1 native,3,0,3
Ericaceae ,Ericaceae ,Menziesia,minniebush,w,native,native,1 native,2,2,0
Convolvulaceae ,,Merremia,woodrose,h,native,native,1 native,0,0,0
Boraginaceae,Boraginaceae,Mertensia,bluebells,h,native,native,1 native,3,0,3
Aizoaceae,,Mesembryanthemum,iceplant,h,alien,alien,1 alien,0,0,0
Cupressaceae,Cupressaceae,Metasequoia,dawn redwood,w,alien,alien,1 alien,0,0,0
Poaceae,,Mibora,sandgrass,h,alien,alien,1 alien,0,0,0
Scrophulariaceae,,Micranthemum,mudflower,h,native,native,2 natives,0,0,0
Poaceae,,Microstegium,Japanese stilgrass,h,alien,alien,1 alien,0,0,0
Brassicaceae,,Microthlaspi,pennycress,h,alien,alien,1 alien,0,0,0
Asteraceae,Compositae ,Mikania,climbing hempvine,h,native,native,1 native,3,0,3
Poaceae,Gramineae,Milium,milletgrass,h,native,native,1 native,1,0,1
Fabaceae,Leguminosae(M),Mimosa,"mimosa, powderpuff, (?)sensitive plant",h,native,native,2 natives,7,1,6
Scrophulariaceae,Scrophulariaceae,Mimulus,monkeyflower,h,native,native unless cultivated,"3 natives, perhaps 1 alien if cultivated",4,0,4
Caryophyllaceae,,Minuartia,stitchwort,h,native,native,5 antives,0,0,0
Nyctaginaceae,Nyctaginaceae,Mirabilis,four o'clock,h,native,both,"4 natives, 1 alien perhaps others if cultivated",2,0,2
Poaceae,Gramineae,Miscanthus,silvergrass,h,alien,alien,"1 alien, perhaps others if cultivated",1,1,0
Scrophulariaceae,,Misopates,misopates,h,alien,alien,1 alien,0,0,0
Rubiaceae,,Mitchella,mitchella,h,native,native,1 native,0,0,0
Saxifragaceae,,Mitella,miterwort,h,native,native,2 natives,0,0,0
Loganiaceae,,Mitreola,hornpod,h,native,native,2 natives,0,0,0
Malvaceae,,Modiola,bristlemallow,h,native,native,1 native,0,0,0
Caryophyllaceae,,Moehringia,sandwort,h,native,native,1 native,0,0,0
Caryophyllaceae,,Moenchia,upright chickweed,h,alien,alien,1 alien,0,0,0
Poaceae,,Molinia,moorgrass,h,alien,alien,1 alien,0,0,0
Molluginaceae,Molluginaceae,Mollugo,"indian chickweed, carpetweed",h,native,both,"1 native, 1 alien perhaps others if cultivated",1,0,1
Lamiaceae,,Moluccella,moluccella,h,alien,alien,1 alien,0,0,0
Cucurbitaceae ,Cucurbitaceae ,Momordica,balsampear,h,alien,alien,1 alien perhaps others if cultivated,1,0,1
Lamiaceae,Labiatae,Monarda,"beebalm, wild bergamot",h,native,native,"5 natives, others cultivated",7,0,7
Pyrolaceae,,Moneses,single delight,h,native,native,1 native,0,0,0
Chenopodiaceae,,Monolepis,povertyweed,h,native,native,1 native,0,0,0
Monotropaceae ,Ericaceae ,Monotropa,"indianpipe, pinesap",h,native,native,2 natives,3,0,3
Monotropaceae ,,Monotropsis,pygmypipes,h,native,native,1 native,0,0,0
Portulacaceae ,,Montia,minerslettuce,h,native,native,3 natives,0,0,0
Myricaceae,,Morella,bayberry,h,native,native,3 natives,0,0,0
Brassicaceae,,Moricandia,moricandia,h,alien,alien,1 alien,0,0,0
Moraceae,Moraceae,Morus,mulberry,w,native,both,"1 native, 2 aliens",9,3,6
Poaceae,Gramineae,Muhlenbergia,muhly,h,native,both,"14 natives, perhaps 1 alien if cultivated",4,0,4
Commelinaceae,,Murdannia,murdannia,h,alien,alien,1 alien,0,0,0
Liliaceae,,Muscari,grape hyacinth,h,alien,alien,3 aliens,0,0,0
Asteraceae,,Mycelis,mycelis,h,alien,alien,1 alien,0,0,0
Boraginaceae,Boraginaceae,Myosotis,forget-me-not,h,native,both,"3 natives, 5 aliens perhaps more if cultivated",3,1,2
Caryophyllaceae,,Myosoton,myosoton,h,alien,alien,1 alien,0,0,0
Ranunculaceae,,Myosurus,mousetail,h,native,native,1 native,0,0,0
Myricaceae,Myricaceae,Myrica,"bayberry, myrtle, gale, sweetgale, northern bayberry, red bayberry, wax myrtle",w,native,native,1 native,108,2,106
Haloragaceae,Haloragaceae,Myriophyllum,watermilfoil,h,native,both,"8 natives, 3 aliens",2,0,2
Apiaceae,,Myrrhis,myrrhis,h,alien,alien,1 alien,0,0,0
