,cleanedName,sciName,itis_id,rank,Suggested Name,Suggested ITIS ID,Problem
210,Azalea,Rhododendron,23700,species,,,
211,River birch,Betula nigra,19480,species,,,
212,Russian-olive,Elaeagnus angustifolia,27770,species,,,
213,Golden rain tree,Koelreuteria elegans,503285,species,,,
214,Washington hawthorn,Crataegus phaenopyrum,24593,species,,,
215,Clerya,Mulinia cleryana,80960,species,,,
216,Camellia,Camellia,500689,species,,,
217,Rose of sharon,Hibiscus syriacus,21638,species,,,
218,Merrill magnolia,NA,NA,species,Magnolia,,???a hybrid magnolia 
219,Catalpa,Catalpa,34312,species,,,
220,Chinese evergreen oak,NA,NA,species,Quercus glauca,845168,not found | internet says these it correlates with Quercus myrsinifolia
221,Laurel oak,Quercus laurifolia,19368,species,,,
222,Tulip poplar,Liriodendron tulipifera,18086,species,,,
223,Red mulberry,Morus rubra,19070,species,,,
224,Hornbeam,Carpinus,19503,species,,,
225,Viburnum plicatum,Viburnum plicatum,35272,species,,,
226,Coastal azalea,NA,NA,species,Rhododendron atlanticum,23704,not found | also goes by dwarf azalea
227,Plumleaf azalea,Rhododendron prunifolium,23728,species,,,
228,Piedmont azalea,NA,NA,species,Rhododendron flammeum,23717,Two names on IT IS| R. canescens called mountain azalea USDA
229,Florida azalea,Rhododendron austrinum,23705,species,,,
230,Rhododendron canescens,Rhododendron canescens,23712,species,,,
231,Rhododendron austrinum,Rhododendron austrinum,23705,species,,,
232,Common spicebush,NA,NA,species,Lindera benzoin,18147,Not found | internet says Lindera benzoin
233,Cherrybark oak,Quercus pagoda,195195,species,,,
234,Quercus montana,Quercus montana,19379,species,,,
235,Sumac?,NA,NA,species,,,user unsure
236,Lindera benzoin,Lindera benzoin,18147,species,,,
237,Sumac,Rhus,28772,species,,,
238,Mulberry,Morus,19064,species,,,
239,Wineberry,Rubus phoenicolasius,25017,species,,,
240,Quihoui???,NA,NA,species,,,user unsure
241,Olive quihoui??,NA,NA,species,,,user unsure
242,Japanese knotweed,Fallopia japonica,565897,species,,,
243,Northern spicebush,Lindera benzoin,18147,species,,,
244,Oriental bittersweet,Celastrus orbiculatus,506068,species,,,
245,Jetbead,Rhodotypos scandens,25298,species,,,
246,Black mulberry,Morus nigra,19069,species,,,
247,Brambles,Rubus,24848,species,,,
248,Multiflora rose,Rosa multiflora,24833,species,,,
249,Bush honeysuckle,Diervilla,35309,species,,,
250,Ohio buckeye,Aesculus glabra,28718,species,,,
251,Acer negundo,Acer negundo,28749,species,,,
252,Common ninebark,Physocarpus opulifolius,25282,species,,,
253,Ozark witch hazel,NA,NA,species,Hamamelis vernalis,19032,Misspelling
254,Wax myrtle,Morella cerifera,507899,species,,,
255,Black locust,Robinia pseudoacacia,504804,species,,,
256,Amur honeysuckle,Lonicera maackii,35298,species,,,
257,Frangula alnus,NA,NA,species,Rhamnus frangula,28579,Not accepted name 
258,Wisteria,Wisteria,27019,species,,,
259,Great rhododendron,NA,NA,species,Rhododendron maximum,23721,Different common name that's not commonly used? Also called great laurel
260,Fraser's magnolia,Magnolia fraseri,18073,species,,,
