,X.x,cleanedName,sciName,itis_id,rank,notes,X.y,LeafLength,maxLeafLength,meanLeafLength,minLeafLength,Source for LeafLength (mm),LeafArea,maxLeafArea,meanLeafArea,minLeafArea
312,312,Wafer ash,Ptelea trifoliata,NA,species,known as hoptree,144,LeafLength,12,9,6,,NA,NA,NA,NA
330,330,Feijoa sellowiana,Acca sellowiana,NA,species,not updated,1,LeafLength,6.09,6.09,6.09,,NA,NA,NA,NA
344,344,Peach,Prunus persica,24765,species,,138,LeafLength,16,10.75,5,,NA,NA,NA,NA
354,354,Koelreuteria paniculata,Koelreuteria paniculata,503286,species,,82,LeafLength,50,50,50,,NA,NA,NA,NA
356,356,Syringa reticulata,Syringa reticulata,507196,species,,183,LeafLength,14,8.625,2.5,,NA,NA,NA,NA
362,362,Raisin,Hovenia dulcis,28554,species,,74,LeafLength,20,12.75,7,,NA,NA,NA,NA
368,368,Amelanchier alnifolia,Amelanchier alnifolia,25109,species,,14,LeafLength,5,3.5,2,,NA,NA,NA,NA
371,371,Euonymus japonicus,Euonymus japonicus,894987,species,,61,LeafLength,12,6.285714286,2,,NA,NA,NA,NA
387,387,Fishpole bamboo,Phyllostachys aurea,NA,species,also known as golden bamboo,113,LeafLength,15,9.75,6,,NA,NA,NA,NA
395,395,Viburnum rhytidophyllum,Viburnum rhytidophyllum,505679,species,,200,LeafLength,20,14,8,,NA,NA,NA,NA
421,421,Prunus salicina,Prunus salicina,506232,species,,139,LeafLength,12,7.2,3,,NA,NA,NA,NA
423,423,Tilia tomentosa,Tilia tomentosa,845764,species,,188,LeafLength,15,11,8,,NA,NA,NA,NA
433,433,Shortleaf pine,Pinus echinata,183335,species,,118,LeafLength,13,9,5,,NA,NA,NA,NA
436,436,Arizona white oak,Quercus arizonica,19292,species,,147,LeafLength,9,6,3,,NA,NA,NA,NA
439,439,Myrobalan plum,Prunus cerasifera,24772,species,,134,LeafLength,8,4.3,2,,NA,NA,NA,NA
450,450,Quercus nuttallii,Quercus texana,195188,species,not updated,166,LeafLength,20,13.75,7.5,,NA,NA,NA,NA
2,2,Birch,Betula,19478,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
8,8,Chokecherry,Prunus,24762,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
9,9,Sugar maple,Acer saccharum,28731,species,,NA,NA,110,NA,50,https://plants.usda.gov/DocumentLibrary/plantguide/pdf/pg_acsa3.pdf,NA,NA,NA,NA
10,10,Hophornbeam,Ostrya,19508,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
13,13,Dogwood,Cornus,27798,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
18,18,Honeysuckle,Lonicera,35281,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
19,19,Hydrangea,Hydrangea,24194,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
21,21,Weeping cherry,Prunus subhirtella ,NA,species,also called winter-flowering cherry,NA,NA,NA,NA,NA,,NA,NA,NA,NA
22,22,Buckthorn,Rhamnus,28561,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
23,23,Serviceberry,Amelanchier,25108,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
25,25,Lilac,Syringa,32994,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
27,27,Vaccineum stamineum,Vaccinium stamineum ,NA,species,mispelled,NA,NA,NA,NA,NA,,NA,NA,NA,NA
28,28,Hickory,Carya,19223,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
